Nomor Referensi,Tgl Transaksi,Tgl Efektif,Debit,Kredit,Saldo,Keterangan,sumber dana
Penampungan sementara mukafaah Juni 2021,44378,44378,,-8550000,-8550000,Penampungan mukafaah Juni ke Alokasi Pinjaman | PNS,PNS YYS
Penampungan sementara mukafaah Juni 2021,44378,44378,,8550000,0,Penampungan mukafaah Juni ke Alokasi Pinjaman | Alokasi Pinjaman,AP YYS
Penampungan sementara mukafaah Juni 2021,44378,44378,,-9706035,-9706035,Penampungan mukafaah Juni ke Penampungan PAP | PNS,PNS YYS
Penampungan sementara mukafaah Juni 2021,44378,44378,,9706035,0,Penampungan mukafaah Juni ke Penampungan PAP | Penampunga Pendidikan Anak Pegawai,PNS PAP YYS
Pemindahan Penampungan Pendidikan Anak Pegatai TP 20/21,44378,44378,,-9706035,-9706035,Penampungan mukafaah Juni ke Penampungan PAP | Penampunga Pendidikan Anak Pegawai TP 2020-2021,PNS PAP YYS
Pemindahan Penampungan Pendidikan Anak Pegatai TP 20/21,44378,44378,,9706035,0,Penampungan mukafaah Juni ke Penampungan PAP | Sisa Kegiatan Unit,SKU YYS
Penampungan sementara mukafaah Juni 2021,44379,44379,,-88641953,-88641953,Penyesuaian Sisa Kegiatan Unit | Penampungan Sementara,PNS YYS
Penampungan sementara mukafaah Juni 2021,44379,44379,,88641953,0,Penyesuaian Sisa Kegiatan Unit | Sisa Kegiatan SDIT,AP YYS
121S67F211820001,44378,44378,,-5183500,-5183500,Payroll Uang pisah TKIT Anak Shalih Nurlaela,SPP TKIT ANS
121S67F211820001,44378,44378,,-1138400,-6321900,Payroll Uang pisah TKIT Anak Shalih Hamroh Humaero,SPP TKIT ANS
121S67F211820001,44378,44378,,-1737500,-8059400,Payroll Uang pisah SDIT Anak Shalih Marni Roslita,SPP SDIT
121S67F211820001,44378,44378,,-1687500,-9746900,Payroll Uang pisah SDIT Anak Adilah Firda Fahmala,SPP SDIT
121S67F211820001,44378,44378,,-1687500,-11434400,Payroll Uang pisah SDIT Anak Shalih Aura Nabila Azelia,SPP SDIT
121S67F211820001,44378,44378,,0,-11434400,Payroll Uang pisah SDIT Anak Shalih Halki Muhammad Riswan,SPP SDIT
121S67F211820001,44378,44378,,-6273750,-17708150,Payroll Uang pisah Staf Yayasan Waskito Tim Suryo,SPP SDIT
121DCTC212000002,44396,44396,,-138600,-17846750,FPK-325-YPI-U03-07-2021 tag minimart atas kebutuhan pembangunan gedung,SPP SDIT
121DCTC212000002,44396,44396,,-988000,-18834750,FPK-325-YPI-U03-07-2021 tag minimart atas,SPP SDIT
000CBAB21200C4ED,44396,44396,,-1050000,-19884750,6019008520496232 522 000000869743 VA : 8166020132122036 - ENZO RAZAN NUFAIL ADITYAPUTRA CDT TRF BENFC BERSAMA | Koreksi dari BP ke SPP,BP SDIT
000CBAB21200C4ED,44396,44396,,1050000,-18834750,6019008520496232 522 000000869743 VA : 8166020132122036 - ENZO RAZAN NUFAIL ADITYAPUTRA CDT TRF BENFC BERSAMA | Koreksi dari BP ke SPP,SPP SDIT
